PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Krange, O; von Essen, E; Skogen, K				Krange, Olve; von Essen, Erica; Skogen, Ketil			Law Abiding Citizens On Popular Support for the Illegal Killing of Wolves	NATURE + CULTURE				Article									[Krange, Olve] Norwegian Inst Nat Res, Trondheim, Norway; [von Essen, Erica] Stockholm Univ, Dept Social Anthropol, Stockholm, Sweden; [Skogen, Ketil] Norwegian Inst Nat Res NINA, Trondheim, Norway		Krange, O (corresponding author), Norwegian Inst Nat Res, Trondheim, Norway.	olve.krange@nina.no; erica.von.essen@socant.su.se; ketil.skogen@nina.no								0	0											JUN	2022	17	2					191	214		10.3167/nc.2022.170204	http://dx.doi.org/10.3167/nc.2022.170204												2022-09-28	WOS:000820486200004
J	Santiago-Avila, FJ; Agan, S; Hinton, JW; Treves, A				Santiago-Avila, Francisco J.; Agan, Suzanne; Hinton, Joseph W.; Treves, Adrian			Evaluating how management policies affect red wolf mortality and disappearance	ROYAL SOCIETY OPEN SCIENCE				Article									[Santiago-Avila, Francisco J.; Treves, Adrian] Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI USA; [Santiago-Avila, Francisco J.] Project Coyote, Larkspur, CA USA; [Santiago-Avila, Francisco J.] Rewilding Inst, Albuquerque, NM USA; [Agan, Suzanne] Kennesaw State Univ, Dept Ecol Evolut & Organismal Biol, Kennesaw, GA USA; [Hinton, Joseph W.] Wolf Conservat Ctr, South Salem, NY USA		Santiago-Avila, FJ (corresponding author), Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI USA.; Santiago-Avila, FJ (corresponding author), Project Coyote, Larkspur, CA USA.; Santiago-Avila, FJ (corresponding author), Rewilding Inst, Albuquerque, NM USA.	fj.santiagoavila@gmail.com								0	0											MAY 25	2022	9	5							210400	10.1098/rsos.210400	http://dx.doi.org/10.1098/rsos.210400												2022-09-28	WOS:000800401100002
J	Hill, JE; Boone, HM; Gantchoff, MG; Kautz, TM; Kellner, KF; Orning, EK; Parchizadeh, J; Petroelje, TR; Wehr, NH; Finnegan, SP; Fowler, NL; Lutto, AL; Schooler, SL; Bosch, M; Perez, AZ; Belant, JL				Hill, Jacob E.; Boone, Hailey M.; Gantchoff, Mariela G.; Kautz, Todd M.; Kellner, Kenneth F.; Orning, Elizabeth K.; Parchizadeh, Jamshid; Petroelje, Tyler R.; Wehr, Nathaniel H.; Finnegan, Shannon P.; Fowler, Nicholas L.; Lutto, Ashley L.; Schooler, Sarah L.; Bosch, Merijn; Perez, Alejandra Zubiria; Belant, Jerrold L.			Quantifying anthropogenic wolf mortality in relation to hunting regulations and landscape attributes across North America	ECOLOGY AND EVOLUTION				Article									[Hill, Jacob E.; Boone, Hailey M.; Gantchoff, Mariela G.; Kautz, Todd M.; Kellner, Kenneth F.; Orning, Elizabeth K.; Parchizadeh, Jamshid; Petroelje, Tyler R.; Wehr, Nathaniel H.; Finnegan, Shannon P.; Fowler, Nicholas L.; Lutto, Ashley L.; Schooler, Sarah L.; Bosch, Merijn; Perez, Alejandra Zubiria; Belant, Jerrold L.] SUNY Coll Environm Sci & Forestry, Global Wildlife Conservat Ctr, Syracuse, NY 13210 USA; [Hill, Jacob E.] Univ Georgia, Savannah River Ecol Lab, PO Drawer E, Aiken, SC 29802 USA; [Orning, Elizabeth K.] US Geol Survey, Ft Collins Sci Ctr, Ft Collins, CO USA		Hill, JE (corresponding author), Univ Georgia, Savannah River Ecol Lab, PO Drawer E, Aiken, SC 29802 USA.	jehill@uga.edu								1	1											MAY	2022	12	5							e8875	10.1002/ece3.8875	http://dx.doi.org/10.1002/ece3.8875												2022-09-28	WOS:000797817100001
J	Santiago-Avila, FJ; Treves, A				Santiago-Avila, Francisco J.; Treves, Adrian			Poaching of protected wolves fluctuated seasonally and with non-wolf hunting	SCIENTIFIC REPORTS				Article									[Santiago-Avila, Francisco J.; Treves, Adrian] Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53706 USA		Santiago-Avila, FJ (corresponding author), Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53706 USA.	fj.santiagoavila@gmail.com								2	2											FEB 2	2022	12	1							1738	10.1038/s41598-022-05679-w	http://dx.doi.org/10.1038/s41598-022-05679-w												2022-09-28	WOS:000750981100027
J	Treves, A; Louchouarn, NX				Treves, Adrian; Louchouarn, Naomi X.			Uncertainty and precaution in hunting wolves twice in a year	PLOS ONE				Article									[Treves, Adrian; Louchouarn, Naomi X.] Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53706 USA		Treves, A (corresponding author), Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53706 USA.	atreves@wisc.edu								0	0												2022	17	3							e0259604	10.1371/journal.pone.0259604	http://dx.doi.org/10.1371/journal.pone.0259604												2022-09-28	WOS:000779047400034
J	Adhikari, B; Baral, K; Bhandari, S; Szydlowski, M; Kunwar, RM; Panthi, S; Neupane, B; Koirala, RK				Adhikari, Binaya; Baral, Kedar; Bhandari, Shivish; Szydlowski, Michelle; Kunwar, Ripu M.; Panthi, Saroj; Neupane, Bijaya; Koirala, Raj Kumar			Potential risk zone for anthropogenic mortality of carnivores in Gandaki Province, Nepal	ECOLOGY AND EVOLUTION				Article									[Adhikari, Binaya; Neupane, Bijaya; Koirala, Raj Kumar] Tribhuvan Univ, Inst Forestry, Pokhara, Nepal; [Adhikari, Binaya] Pokhara Zool Pk & Wildlife Rescue Ctr, Kaski, Nepal; [Baral, Kedar] Div Forest Off, Kaski, Nepal; [Baral, Kedar] Massey Univ, Sch Nat & Computat Sci, Auckland, New Zealand; [Bhandari, Shivish] Morgan State Univ, Baltimore, MD 21239 USA; [Szydlowski, Michelle] Univ Exeter, Dept Anthrozool, Exeter, Devon, England; [Kunwar, Ripu M.] Food & Agr Org, Kathmandu, Nepal; [Panthi, Saroj] Minist Forest Environm & Soil Conservat, Pokhara, Nepal		Adhikari, B (corresponding author), Tribhuvan Univ, Inst Forestry, Pokhara, Nepal.	bnayadh@gmail.com								1	2											JAN	2022	12	1							e8491	10.1002/ece3.8491	http://dx.doi.org/10.1002/ece3.8491												2022-09-28	WOS:000747845400023
J	Nowak, S; Zmihorski, M; Figura, M; Stachyra, P; Myslajek, RW				Nowak, Sabina; Zmihorski, Michal; Figura, Michal; Stachyra, Przemyslaw; Myslajek, Robert W.			The illegal shooting and snaring of legally protected wolves in Poland	BIOLOGICAL CONSERVATION				Article									[Nowak, Sabina; Figura, Michal; Myslajek, Robert W.] Univ Warsaw, Fac Biol, Biol & Chem Res Ctr, Inst Funct Biol & Ecol,Dept Ecol, Zwirki & Wigury 101, PL-02089 Warsaw, Poland; [Zmihorski, Michal] Polish Acad Sci, Mammal Res Inst, Stoczek 1, PL-17230 Bialowieza, Poland; [Figura, Michal] Assoc Nat Wolf, Cynkowa 4, PL-34324 Twardorzeczka, Poland; [Stachyra, Przemyslaw] Rortocze Natl Pk, Plazowa 2, PL-22470 Zwierzyniec, Poland		Nowak, S (corresponding author), Univ Warsaw, Fac Biol, Biol & Chem Res Ctr, Inst Funct Biol & Ecol,Dept Ecol, Zwirki & Wigury 101, PL-02089 Warsaw, Poland.	sabina.pieruzeknowak@gmail.com								2	2											DEC	2021	264								109367	10.1016/j.biocon.2021.109367	http://dx.doi.org/10.1016/j.biocon.2021.109367		OCT 2021										2022-09-28	WOS:000719372700002
J	Morales-Gonzalez, A; Fernandez-Gil, A; Quevedo, M; Revilla, E				Morales-Gonzalez, Ana; Fernandez-Gil, Alberto; Quevedo, Mario; Revilla, Eloy			Patterns and determinants of dispersal in grey wolves (Canis lupus)	BIOLOGICAL REVIEWS				Article									[Morales-Gonzalez, Ana; Fernandez-Gil, Alberto; Revilla, Eloy] Estn Biol Donana EBD CSIC, Dept Conservat Biol, Avd Americo Vespucio 26, Seville 41092, Spain; [Quevedo, Mario] Oviedo Univ, Dept Organisms & Syst Biol, Oviedo, Spain; [Quevedo, Mario] Oviedo Univ, Res Inst Biodivers IMIB UO CSIC PA, Oviedo, Spain		Morales-Gonzalez, A (corresponding author), Estn Biol Donana EBD CSIC, Dept Conservat Biol, Avd Americo Vespucio 26, Seville 41092, Spain.	moralesglezana@gmail.com								4	4											APR	2022	97	2					466	480		10.1111/brv.12807	http://dx.doi.org/10.1111/brv.12807		OCT 2021										2022-09-28	WOS:000708270900001
J	Agan, SW; Treves, A; Willey, LL				Agan, Suzanne W.; Treves, Adrian; Willey, Lisabeth L.			Majority positive attitudes cannot protect red wolves (Canis rufus) from a minority willing to kill illegally	BIOLOGICAL CONSERVATION				Article									[Agan, Suzanne W.; Willey, Lisabeth L.] Antioch Univ New England, 40 Avon St, Keene, NH 03431 USA; [Treves, Adrian] Univ Wisconsin Madison, Carnivore Coexistence Lab, Nelson Inst Environm Studies, 30A Sci Hall, Madison, WI 53706 USA		Agan, SW (corresponding author), 1509 Turner Rd NE, Rome, GA 30165 USA.	sagan@antioch.edu; atreves@wisc.edu; lwilley@antioch.edu								2	2											OCT	2021	262								109321	10.1016/j.biocon.2021.109321	http://dx.doi.org/10.1016/j.biocon.2021.109321		SEP 2021										2022-09-28	WOS:000705337700002
J	Treves, A; Santiago-Avila, FJ; Putrevu, K				Treves, Adrian; Santiago-Avila, Francisco J.; Putrevu, Karann			Quantifying the effects of delisting wolves after the first state began lethal management	PEERJ				Article									[Treves, Adrian; Santiago-Avila, Francisco J.; Putrevu, Karann] Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53706 USA		Treves, A (corresponding author), Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53706 USA.	atreves@wisc.edu								5	5											JUL 5	2021	9								e11666	10.7717/peerj.11666	http://dx.doi.org/10.7717/peerj.11666												2022-09-28	WOS:000669534400003
